Smiles,Molecular Weight,AlogP,#RO5 Violations,pIC50
CC(C)c1nn(CC(=O)Nc2ccncn2)c(=O)c2cc(I)nn12,439.22,1.05,0.0,7.920818753952375
CC(C)(N)/C=C/[S+]([O-])(=NC#N)NC(=O)Nc1c2c(cc3c1CCC3)CCC2,387.51,2.9,0.0,7.920818753952375
Cc1c(-c2ccc3c(c2O)CC3)nnc2c1OCCN2[C@@H]1CCCC[C@H]1O.O=C(O)C(F)(F)F,481.47,2.76,0.0,7.920818753952375
COC1CN([C@@H]2COc3c(S(=O)(=O)NC(=O)Nc4c5c(cc6c4CCC6)CCC5)cnn3C2)C1,487.58,1.46,0.0,7.920818753952375
CN(C)[C@@H]1COc2c(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cnn2C1,445.55,1.69,0.0,7.886056647693163
Cc1nc(N[C@H]2CCCN(CC(C)O)C2)nnc1-c1ccc2c(c1O)CCO2,385.47,1.74,0.0,7.886056647693163
S=c1cc(Cc2ccccn2)[nH]c2nc(Nc3c4c(cc5c3CCC5)CCC4)nn12,414.54,4.49,0.0,7.886056647693163
CCOC(=O)C(Cc1cnccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,395.46,3.18,0.0,7.853871964321762
CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cc(F)cc(C#N)c1,428.47,4.91,0.0,7.853871964321762
CN(Cc1cccc2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CC2)c1,415.47,5.18,1.0,7.853871964321762
Cc1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1,370.47,3.48,0.0,7.823908740944319
Cc1cnc(-c2nnc(N[C@@H]3CCCN(C)C3)c3ccccc23)c(O)c1,349.44,3.21,0.0,7.823908740944319
Cc1nc(N[C@@H]2CCCN(CCCO)C2)nnc1-c1ccc2c(c1O)CCO2,385.47,1.75,0.0,7.795880017344075
Cc1nc(N[C@H]2CCCN(CCc3ncco3)C2)nnc1-c1ccc2c(c1O)CCO2,422.49,2.59,0.0,7.795880017344075
CCN1CCC[C@H](Nc2nnc(-c3ccc4c(c3O)CCO4)n(C)c2=O)C1,371.44,1.38,0.0,7.795880017344075
CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccccc1,385.47,4.9,0.0,7.769551078621726
CN(C)c1nn(CC(=O)N[C@H]2C[C@@](C)(O)C2)c(=O)c2cc3sccc3n12,375.45,0.81,0.0,7.769551078621726
CC(C)c1nn(CC(=O)N[C@H]2C[C@@](C)(O)C2)c(=O)c2cc3ccsc3n12,374.47,1.86,0.0,7.735182176990463
CC(C)c1nn(CC(=O)N[C@H]2CN(C3CCC3)CC[C@H]2O)c(=O)c2cc(C3CC3)nn12,428.54,1.0,0.0,7.6777807052660805
N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccccc1,380.47,3.71,0.0,7.6777807052660805
Cc1ccc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N2CCCOCC2)co1,448.42,2.44,0.0,7.6777807052660805
CCOc1cc(C(=O)N(C)Cc2ccc(C)c3cn[nH]c23)ccc1-c1cccc(F)c1,417.48,5.35,1.0,7.657577319177793
N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccccn1,381.46,3.1,0.0,7.638272163982407
CC(C)c1nn(CC(=O)Nc2ccc3nncn3c2)c(=O)c2sc(C3CC3)nc12,409.48,2.54,0.0,7.638272163982407
CCNc1nc2c(C(C)C)nn(CC(=O)Nc3ccc4nncn4c3)c(=O)c2s1,412.48,2.09,0.0,7.638272163982407
CCOC(=O)C(Cn1cccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,383.45,3.04,0.0,7.638272163982407
O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)/C=C/c1nccs1,389.5,3.24,0.0,7.619788758288394
CCNc1cc2c(=O)n(CC(=O)Nc3ccc4nncn4c3)nc(C(C)C)n2n1,395.43,1.13,0.0,7.619788758288394
Cc1ccc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N(C)C(C)C)co1,420.41,3.06,0.0,7.619788758288394
