Molecular Weight,AlogP,#RO5 Violations,Action_Encoded,pIC50
450.91,4.46,0.0,1,6.42021640338319
293.27,3.17,0.0,1,6.419873674588417
271.32,2.97,0.0,1,6.411952503013917
462.32,4.03,0.0,1,6.4089353929735005
320.4,1.86,0.0,1,6.3979400086720375
400.5,2.71,0.0,1,6.3872161432802645
443.89,4.72,0.0,1,6.366531544420414
377.49,2.94,0.0,1,6.366531544420414
397.46,2.22,0.0,1,6.366531544420414
495.83,4.17,0.0,1,6.366531544420414
346.41,2.77,0.0,1,6.356547323513812
279.34,3.23,0.0,1,6.356547323513812
440.92,4.29,0.0,1,6.356547323513812
303.36,2.78,0.0,1,6.356547323513812
518.01,3.29,1.0,1,6.346787486224656
384.5,2.77,0.0,1,6.346787486224656
484.58,3.25,0.0,1,6.301029995663981
461.33,4.63,0.0,1,6.301029995663981
302.38,2.4,0.0,1,6.301029995663981
508.52,3.66,1.0,1,6.301029995663981
472.54,3.38,0.0,1,6.301029995663981
456.57,2.98,0.0,1,6.301029995663981
452.54,3.0,0.0,1,6.301029995663981
454.55,3.24,0.0,1,6.301029995663981
479.32,4.77,0.0,1,6.301029995663981
422.31,4.78,0.0,1,6.292429823902063
338.39,1.57,0.0,1,6.292429823902063
417.48,5.43,1.0,1,6.291579099865287
393.35,1.68,0.0,1,6.259637310505756
431.24,6.27,1.0,0,6.247183568811728
422.31,4.78,0.0,1,6.2441251443275085
265.31,2.72,0.0,1,6.229147988357855
337.45,3.82,0.0,1,6.221848749616356
394.46,3.11,0.0,1,6.204119982655925
433.48,5.05,1.0,1,6.204119982655925
552.7,4.02,1.0,1,6.196542884351586
374.51,4.75,0.0,1,6.195860567664649
494.89,5.0,0.0,1,6.1938200260161125
351.36,1.63,0.0,0,6.1938200260161125
509.59,2.39,1.0,1,6.193141970481182
306.16,3.34,0.0,1,6.190238334892875
308.29,2.37,0.0,0,6.1771783546968955
494.89,5.0,0.0,1,6.173925197299173
540.28,4.28,1.0,1,6.167491087293763
431.47,4.42,0.0,1,6.166215625343521
461.33,4.63,0.0,1,6.154901959985743
495.83,4.17,0.0,1,6.1487416512809245
461.33,4.63,0.0,1,6.113509274827518
445.4,5.27,1.0,1,6.104577453960592
315.59,5.29,1.0,0,6.094204119632131
279.34,2.92,0.0,1,6.0915149811213505
540.28,4.28,1.0,1,6.0915149811213505
541.51,4.73,1.0,0,6.089909454405932
312.37,3.57,0.0,1,6.086186147616283
406.48,4.2,0.0,1,6.075720713938118
461.33,4.63,0.0,1,6.060480747381382
265.36,4.32,0.0,0,6.055024091587952
442.99,3.82,0.0,1,6.040958607678906
424.47,4.34,0.0,1,6.040958607678906
251.28,2.42,0.0,1,6.031517051446065
312.37,3.57,0.0,1,6.026872146400302
568.66,3.42,1.0,1,6.023650020996727
462.37,2.91,0.0,1,6.017728766960431
358.42,1.96,0.0,1,6.017728766960431
493.9,5.6,1.0,1,6.013228265733755
251.28,2.42,0.0,1,6.013228265733755
474.48,5.22,1.0,1,6.00436480540245
